FEATURE_CODE,CHARGE_TYPE,FTR_REVENUE_CODE,SYS_CREATION_DATE,SYS_UPDATE_DATE,OPERATOR_ID,APPLICATION_ID,DL_SERVICE_CODE,DL_UPDATE_STAMP,INVOICE_TYPE,BL_INCL_PRST_IND,BL_ZERO_CHG_PRST_IND,CSM_PRST_CODE,GL_CLASSIF_CODE,DEF_BAL_IMPACT_CD,MANUAL_OC_CREATE_IND,MNL_OC_TXT_OVRD_IND,MNL_OC_CHRG_LEVEL,MNL_OC_AMT_OVRD_IND,ELIG_LATE_PYM_IND,ELIG_OC_TAX_FEE_IND,DLR_RES_IND,ELIG_INSTALLMENT,DISCOUNTABLE_IND,SEC_CLASS,FAN_ACC_DISC_IND,FAN_QLF_MAC_DISC_IND,FAN_QLF_MSC_DISC_IND,RELATED_ADJ_RSN_CD,SYS_REL_ADJ_RSN,TAX_GRP_BY_PP_IND,TITAN_CHG_CODE,CHG_CLASIF_CODE, 
PROMCB,F,O  ,23-MAY-07,30-MAR-12,11111,BL    ,df348,1111,B ,Y,N,02,NTOTHR,B,Y,N,B,Y,Y,N,Y,,,,N,N,N,BRECR ,MISCCR,,PROMCBNBIO,, 
CBLCG ,F,O  ,23-MAY-07,30-MAR-12,11111,BL    ,df348,1111,B ,Y,Y,02,JOINTB,I,Y,N,B,Y,N,N,Y,,,,N,N,N,BRECR ,MISCCR,,CBLCG_NBIO,, 
INSTL4,F,R  ,15-MAY-07,30-MAR-12,11111,BL    ,df348,1111,B ,Y,N,01,PAGONE,B,N,N,C,N,Y,N,Y,,,,N,N,N,BRECR ,MISCCR,,INSTL4NBIR,, 
HY21  ,F,A  ,23-OCT-04,30-MAR-12,11111,BL    ,df348,1111,B ,N,N,03,AIRTIM,B,N,N,C,N,N,N,N,,,,N,N,N,BRECR ,AIRB  ,,HY21__NBIA,, 
OHF001,F,U  ,13-JUN-12,13-JUN-12,77099101,PPOL  ,sp050,,B ,Y,Y,03,LICFEE,B,N,N,C,N,N,Y,N,N,,,Y,Y,N,BRECR ,MISCCR,,OHF001NBIU,, 
IMS   ,F,A  ,01-JAN-80,30-MAR-12,77099101,BL    ,df348,,B ,Y,Y,03,GPRSU ,B,N,N,C,N,N,N,N,,,,N,N,N,BRECR ,DATACH,,IMS___NBIA,, 
DC76  ,F,R  ,15-MAY-07,30-MAR-12,11111,BL    ,df348,1111,B ,Y,Y,01,VAD   ,B,N,N,C,N,Y,N,Y,,,,Y,Y,N,RECURB,RECURB,,DC76__NBIR,, 
A893  ,F,R  ,06-JUN-06,30-MAR-12,11111,BL    ,df348,1111,B ,N,N,01,INTACC,B,N,N,C,N,N,N,N,,,,N,N,N,BRECR ,DATAB ,,A893__NBIR,, 
EP29  ,F,R  ,14-JUL-09,30-MAR-12,11111,BL    ,df348,1111,B ,N,N,01,MNTH  ,B,N,N,C,N,N,N,N,N,,,N,N,N,BRECR ,RECURB,,EP29__NBIR,, 
OHD040,F,L  ,14-JUN-12,14-JUN-12,670371,PPOL  ,mm741,,B ,N,N,03,LICFEE,B,N,N,C,N,N,Y,N,N,,,N,N,N,BRECR ,MISCCR,,OHD040NBIL,, 
OHX007,F,M  ,11-JUN-12,11-JUN-12,77099101,PPOL  ,sp050,,B ,N,N,03,LICFEE,B,N,N,C,N,N,Y,N,N,,,N,N,N,BRECR ,MISCCR,,OHX007NBIM,, 
BCA014,F,R  ,18-JUL-06,30-MAR-12,11111,BL    ,df348,1111,B ,Y,N,01,GENR  ,B,N,N,C,N,Y,Y,Y,,,,Y,Y,N,BRECR ,RECURB,,BCA014NBIR,, 
